   pc  mr     e        isp
400.0 4.5  60.0 358.394913
400.0 4.5  70.0 361.286365
400.0 4.5  80.0 363.715051
400.0 4.5  90.0 365.799735
400.0 4.5 100.0 367.619448
400.0 5.0  10.0 309.243693
400.0 5.0  20.0 326.613996
400.0 5.0  30.0 335.521876
400.0 5.0  40.0 341.346859
400.0 5.0  50.0 345.599054
400.0 5.0  60.0 348.907742
400.0 5.0  70.0 351.592614
400.0 5.0  80.0 353.837182
400.0 5.0  90.0 355.755972
400.0 5.0 100.0 357.424959
450.0 0.5  10.0 215.856220
450.0 0.5  20.0 227.258886
450.0 0.5  30.0 233.092955
450.0 0.5  40.0 236.920431
450.0 0.5  50.0 239.729206
450.0 0.5  60.0 241.927959
450.0 0.5  70.0 243.723327
450.0 0.5  80.0 245.233571
450.0 0.5  90.0 246.532378
450.0 0.5 100.0 247.668603
450.0 1.0  10.0 248.677333
450.0 1.0  20.0 262.204514
450.0 1.0  30.0 269.178241
450.0 1.0  40.0 273.770838
